Location,Soil_Type,Fertility_Index,Land_Use_Type,Average_Rainfall(mm),Temperature(°C),Crop_Suitability,Season,Satellite_Observation_Date,Remarks
Sylhet,Loamy,62,Agricultural,72,28.6,Wheat,Monsoon,24/09/2024,Requires attention
Dhaka,Sandy,63,Unused,118,23.8,Maize,Autumn,31/01/2024,Moderate potential
Rangpur,Peaty,51,Agricultural,106,32,Maize,Autumn,11/03/2024,Requires attention
Khulna,Sandy,67,Barren,336,31.6,Wheat,Autumn,29/09/2024,Low potential
Rangpur,Peaty,63,Agricultural,237,20.1,Rice,Winter,01/04/2024,Moderate potential
Rajshahi,Clay,58,Barren,345,29.3,Vegetables,Monsoon,12/01/2024,High potential
Rajshahi,Silt,68,Barren,324,33.8,Tea,Winter,06/09/2024,Low potential
Chattogram,Loamy,49,Agricultural,71,27,Jute,Summer,05/08/2024,Moderate potential
Barishal,Silt,64,Agricultural,157,22.1,Vegetables,Monsoon,21/12/2024,High potential
Dhaka,Sandy,61,Residential,301,27.9,Rice,Autumn,01/03/2024,Requires attention
Rangpur,Loamy,76,Unused,355,21.9,Rice,Monsoon,13/08/2024,Low potential
Khulna,Clay,44,Barren,51,32.5,Jute,Winter,20/02/2024,Requires attention
Chattogram,Silt,43,Unused,95,33.5,Wheat,Autumn,14/07/2024,Requires attention
Mymensingh,Silt,93,Residential,211,29.3,Spices,Monsoon,07/06/2024,High potential
Rangpur,Clay,83,Agricultural,218,20.5,Vegetables,Summer,02/04/2024,High potential
Barishal,Sandy,79,Barren,280,22.5,Rice,Autumn,05/06/2024,Low potential
Rangpur,Loamy,44,Unused,128,30.4,Tea,Monsoon,15/12/2024,Low potential
Chattogram,Sandy,41,Unused,336,21.2,Maize,Summer,06/11/2024,Low potential
Khulna,Clay,91,Agricultural,73,29.4,Maize,Summer,14/09/2024,Low potential
Khulna,Silt,67,Residential,222,20.7,Maize,Winter,30/03/2024,Moderate potential
Rajshahi,Sandy,79,Barren,86,34.6,Maize,Summer,26/12/2024,High potential
Mymensingh,Loamy,62,Unused,231,31.8,Tea,Autumn,14/03/2024,High potential
Rangpur,Loamy,43,Barren,217,29.6,Spices,Winter,23/10/2024,Moderate potential
Rajshahi,Peaty,72,Agricultural,255,33.2,Vegetables,Autumn,03/11/2024,Requires attention
Sylhet,Peaty,41,Barren,61,23.7,Wheat,Winter,06/12/2024,Moderate potential
Rangpur,Peaty,90,Residential,188,24,Jute,Monsoon,21/10/2024,Low potential
Mymensingh,Loamy,93,Unused,79,28.5,Jute,Winter,02/01/2024,Low potential
Barishal,Loamy,49,Barren,308,29.3,Rice,Summer,22/10/2024,High potential
Chattogram,Clay,83,Barren,339,34.3,Jute,Summer,18/12/2024,Requires attention
Barishal,Loamy,73,Unused,375,28,Wheat,Autumn,14/05/2024,Low potential
Dhaka,Clay,79,Agricultural,148,34.7,Wheat,Autumn,15/05/2024,Low potential
Dhaka,Silt,76,Barren,319,33.7,Rice,Autumn,16/07/2024,High potential
Rajshahi,Clay,72,Unused,172,32.4,Tea,Summer,12/04/2024,Moderate potential
Khulna,Clay,86,Residential,269,25.9,Maize,Winter,26/11/2024,High potential
Mymensingh,Peaty,49,Unused,331,24.5,Wheat,Winter,08/02/2024,Moderate potential
Khulna,Peaty,66,Barren,286,23.6,Tea,Monsoon,24/07/2024,Requires attention
Mymensingh,Sandy,91,Residential,389,31.7,Jute,Winter,10/01/2024,Moderate potential
Chattogram,Loamy,96,Residential,318,31.9,Maize,Autumn,10/03/2024,High potential
Mymensingh,Clay,68,Residential,332,29.3,Jute,Monsoon,16/05/2024,High potential
Rajshahi,Loamy,95,Agricultural,121,33.2,Vegetables,Summer,17/08/2024,High potential
Chattogram,Clay,81,Unused,310,21.4,Jute,Summer,04/04/2024,High potential
Mymensingh,Silt,72,Barren,372,30.8,Wheat,Summer,02/05/2024,Low potential
Rangpur,Loamy,76,Residential,285,33.9,Maize,Winter,29/08/2024,Low potential
